year,share_percent,measure,sample_note
2016,26,Most recent cross-border purchase came from China,IPC trend sample; single-year sample not stated in public chart
2023,37,Most recent cross-border purchase came from China,"Trend sample 23,005; full survey 32,510 consumers in 41 markets"
