year,sales_trillion_usd,coverage_economies,estimate_status,source_page,notes
2016,16.7,43,approximate central estimate from official figure,"Figure 2, printed p. 6 (physical PDF p. 10); total matches Figure 1",Digitized from the vector central line; 2016-2021 totals include limited extrapolation and turnover-based estimates.
2017,18.3,43,approximate central estimate from official figure,"Figure 2, printed p. 6 (physical PDF p. 10); total matches Figure 1",Digitized from the vector central line; 2016-2021 totals include limited extrapolation and turnover-based estimates.
2018,20.3,43,approximate central estimate from official figure,"Figure 2, printed p. 6 (physical PDF p. 10); total matches Figure 1",Digitized from the vector central line; 2016-2021 totals include limited extrapolation and turnover-based estimates.
2019,21.3,43,approximate central estimate from official figure,"Figure 2, printed p. 6 (physical PDF p. 10); total matches Figure 1",Digitized from the vector central line; 2016-2021 totals include limited extrapolation and turnover-based estimates.
2020,21.4,43,approximate central estimate from official figure,"Figure 2, printed p. 6 (physical PDF p. 10); total matches Figure 1",Digitized from the vector central line; 2016-2021 totals include limited extrapolation and turnover-based estimates.
2021,24.5,43,approximate central estimate from official figure,"Figure 2, printed p. 6 (physical PDF p. 10); total matches Figure 1",Digitized from the vector central line; 2016-2021 totals include limited extrapolation and turnover-based estimates.
2022,26.9,43,approximate; indicative estimate,"Figure 2, printed p. 6 (physical PDF p. 10); total matches Figure 1","Digitized from the vector central line; about one third of the 2022 total is estimated, so UNCTAD says it should be regarded as indicative."
